Index,A,B,C,D,E,F,G,H,I,J,K,
12,5.21,5.43,5.61,5.94,6.47,7.47,7.19,6.43,5.95,5.65,5.53,5.45
11,5.13,5.27,5.42,5.72,5.96,6.18,6.18,5.94,5.65,5.48,5.37,5.32
10,4.93,5.03,5.15,5.33,5.40,5.51,5.49,5.40,5.29,5.18,5.11,5.10
9,4.65,4.75,4.78,4.90,4.94,4.99,4.94,4.97,4.88,4.81,4.79,4.79
8,4.31,4.41,4.43,4.49,4.50,4.52,4.53,4.53,4.47,4.45,4.41,4.42
7,3.99,4.04,4.04,4.13,4.12,4.12,4.11,4.09,4.06,4.03,4.04,4.04
6,3.64,3.70,3.73,3.73,3.71,3.72,3.69,3.69,3.68,3.70,3.68,3.66
5,3.27,3.31,3.32,3.32,3.32,3.31,3.31,3.30,3.29,3.31,3.30,3.28
4,2.98,2.96,2.94,2.94,2.92,2.93,2.90,2.91,2.88,2.85,2.90,2.89
3,2.53,2.55,2.53,2.56,2.56,2.54,2.51,2.50,2.49,2.49,2.50,2.50
2,2.14,2.16,2.15,2.14,2.14,2.13,2.12,2.09,2.11,2.07,2.06,2.08
1,1.81,1.80,1.80,1.79,1.78,1.73,1.71,1.71,1.70,1.69,1.68,1.68